размеры массива;BubbleSortOptimizedI от 0 до 5;BubbleSortOptimizedI от 0 до 4000;BubbleSortOptimizedI почти отсортированный;BubbleSortOptimizedI отсортированный в обратном порядке;InsertionSort от 0 до 5;InsertionSort от 0 до 4000;InsertionSort почти отсортированный;InsertionSort отсортированный в обратном порядке;BubbleSort от 0 до 5;BubbleSort от 0 до 4000;BubbleSort почти отсортированный;BubbleSort отсортированный в обратном порядке;SelectionSort от 0 до 5;SelectionSort от 0 до 4000;SelectionSort почти отсортированный;SelectionSort отсортированный в обратном порядке;CountingSort от 0 до 5;CountingSort от 0 до 4000;CountingSort почти отсортированный;CountingSort отсортированный в обратном порядке;RadixSort от 0 до 5;RadixSort от 0 до 4000;RadixSort почти отсортированный;RadixSort отсортированный в обратном порядке;ShellSortCiuraSequence от 0 до 5;ShellSortCiuraSequence от 0 до 4000;ShellSortCiuraSequence почти отсортированный;ShellSortCiuraSequence отсортированный в обратном порядке;ShellSortShellSequence от 0 до 5;ShellSortShellSequence от 0 до 4000;ShellSortShellSequence почти отсортированный;ShellSortShellSequence отсортированный в обратном порядке;BubbleSortOptimizedII от 0 до 5;BubbleSortOptimizedII от 0 до 4000;BubbleSortOptimizedII почти отсортированный;BubbleSortOptimizedII отсортированный в обратном порядке;HeapSort от 0 до 5;HeapSort от 0 до 4000;HeapSort почти отсортированный;HeapSort отсортированный в обратном порядке;BinaryInsertionSort от 0 до 5;BinaryInsertionSort от 0 до 4000;BinaryInsertionSort почти отсортированный;BinaryInsertionSort отсортированный в обратном порядке;QuickSort от 0 до 5;QuickSort от 0 до 4000;QuickSort почти отсортированный;QuickSort отсортированный в обратном порядке;MergeSort от 0 до 5;MergeSort от 0 до 4000;MergeSort почти отсортированный;MergeSort отсортированный в обратном порядке
100;46468;50054;50588;59994;16707;21611;22867;40491;45927;47766;48237;54846;20763;21012;20998;23044;2565;45421;45718;3599;3267;11579;11585;11577;4745;6695;6755;5385;5549;8969;8539;6649;41449;47128;46998;59896;11912;13391;12911;12932;10309;11449;12077;20889;7779;5107;5385;40788;5;3922;3933;4100
200;190150;201772;194860;239994;68135;84847;76223;160991;184875;191142;187908;219696;81539;82161;82203;91094;5065;48031;48515;7199;6467;22879;22891;22877;9941;16191;16161;11821;13373;20753;20013;15853;177343;191697;183316;239796;28431;31854;32030;30681;41717;43717;39405;81789;26759;14119;13928;161588;5;3922;3960;4100
300;431324;450666;447628;539994;154651;183507;180707;361491;416981;427802;426752;494546;182318;183327;183374;204144;7565;50718;51455;10799;9667;34183;34193;34177;15771;25421;26781;19281;21715;33765;31525;26865;405471;428163;420412;539696;45970;52384;51877;50769;94133;93697;92297;182689;56173;22582;21994;362388;5;3939;4000;4100
400;763350;796814;793744;959994;273111;325559;317799;641991;741066;760734;757824;879396;323136;324568;324635;362194;10065;53669;53955;14399;12867;45487;45493;45477;22644;37634;37634;26474;31367;50947;48037;36857;711233;752044;746502;959596;65053;74330;74069;72032;167101;165373;161497;323589;94305;30211;29469;643188;5;3978;4000;4100
500;1196674;1246614;1247896;1499994;429899;496731;509987;1002491;1159524;1184586;1189557;1374246;503909;505729;505959;565244;12565;56378;56455;17999;16067;56789;56793;56777;29284;49754;48024;36554;38041;57421;55961;49081;1120018;1179929;1178412;1499496;85385;96617;96478;93851;261965;251613;258241;504489;144177;40604;40045;1003988;5;3997;4000;4100
600;1720332;1793490;1791978;2159994;617775;710055;727959;1442991;1669640;1704245;1710959;1979096;724704;727013;727177;813294;15065;58878;58955;21599;19267;68089;68093;68077;36334;61824;61404;45614;51029;78819;75679;61469;1619220;1698248;1699440;2159396;105259;120212;120191;116989;375277;358925;367885;725389;199315;54689;52571;1444788;5;3997;4000;4100
700;2329246;2429862;2467280;2939994;820787;946179;1018891;1963491;2265432;2312454;2339721;2693946;985477;988241;988406;1106344;17565;61400;61455;25199;22467;79391;79393;79377;43424;74354;74304;53654;58265;90285;90115;74085;2181418;2302188;2345732;2939296;127564;144573;145042;140880;501405;477637;514005;986289;269809;75509;61858;1965588;5;3999;4000;4100
800;3050154;3180624;3185444;3839994;1079783;1278263;1317183;2563991;2962218;3036648;3051243;3518796;1286250;1289824;1289897;1444394;20065;63900;63999;28799;25667;90691;90693;90677;51367;90127;85877;61267;72761;122151;119671;84061;2863859;3016428;3031617;3839196;149124;168778;169497;165064;657941;644333;663801;1287189;351947;74473;71746;2566388;5;3999;4000;4100
900;3858742;4037842;4042556;4859994;1367475;1622859;1640603;3244491;3749765;3845534;3852188;4453646;1627059;1631336;1631036;1827444;22565;66444;66499;32399;28867;101991;101993;101977;58047;100257;98887;70167;81049;139889;139329;99469;3628920;3829824;3831573;4859096;169629;194140;193898;189591;832725;817293;826165;1628089;435327;92423;85541;3247188;5;3999;4000;4100
1000;4738580;4993114;4990936;5999994;1653263;2001159;2007063;4004991;4616598;4747059;4749273;5498496;2007832;2012411;2012204;2255494;25065;68944;68999;35999;32067;113291;113293;113277;66367;113937;111677;78307;84535;140445;139735;111085;4438763;4728783;4729605;5998996;191837;219393;219526;213083;1010225;1007105;1010045;2008989;533525;99296;87133;4007988;5;3999;4000;4100
