размеры массива;BubbleSortOptimizedI от 0 до 5;BubbleSortOptimizedI от 0 до 4000;BubbleSortOptimizedI почти отсортированный;BubbleSortOptimizedI отсортированный в обратном порядке;InsertionSort от 0 до 5;InsertionSort от 0 до 4000;InsertionSort почти отсортированный;InsertionSort отсортированный в обратном порядке;BubbleSort от 0 до 5;BubbleSort от 0 до 4000;BubbleSort почти отсортированный;BubbleSort отсортированный в обратном порядке;SelectionSort от 0 до 5;SelectionSort от 0 до 4000;SelectionSort почти отсортированный;SelectionSort отсортированный в обратном порядке;CountingSort от 0 до 5;CountingSort от 0 до 4000;CountingSort почти отсортированный;CountingSort отсортированный в обратном порядке;RadixSort от 0 до 5;RadixSort от 0 до 4000;RadixSort почти отсортированный;RadixSort отсортированный в обратном порядке;ShellSortCiuraSequence от 0 до 5;ShellSortCiuraSequence от 0 до 4000;ShellSortCiuraSequence почти отсортированный;ShellSortCiuraSequence отсортированный в обратном порядке;ShellSortShellSequence от 0 до 5;ShellSortShellSequence от 0 до 4000;ShellSortShellSequence почти отсортированный;ShellSortShellSequence отсортированный в обратном порядке;BubbleSortOptimizedII от 0 до 5;BubbleSortOptimizedII от 0 до 4000;BubbleSortOptimizedII почти отсортированный;BubbleSortOptimizedII отсортированный в обратном порядке;HeapSort от 0 до 5;HeapSort от 0 до 4000;HeapSort почти отсортированный;HeapSort отсортированный в обратном порядке;BinaryInsertionSort от 0 до 5;BinaryInsertionSort от 0 до 4000;BinaryInsertionSort почти отсортированный;BinaryInsertionSort отсортированный в обратном порядке;QuickSort от 0 до 5;QuickSort от 0 до 4000;QuickSort почти отсортированный;QuickSort отсортированный в обратном порядке;MergeSort от 0 до 5;MergeSort от 0 до 4000;MergeSort почти отсортированный;MergeSort отсортированный в обратном порядке
100;41400.0;44400.0;43560.0;44720.0;9520.0;10400.0;10160.0;18240.0;42600.0;44000.0;44120.0;44640.0;20400.0;23440.0;22400.0;18800.0;4760.0;32520.0;32640.0;5240.0;4040.0;9800.0;10080.0;10200.0;5000.0;7760.0;7400.0;3520.0;5120.0;7960.0;7360.0;3960.0;35800.0;36760.0;37080.0;39600.0;7960.0;9160.0;9080.0;9000.0;10720.0;14160.0;14360.0;15680.0;5960.0;7280.0;7560.0;25080.0;32240.0;32480.0;32160.0;28400.0
200;156960.0;170960.0;176000.0;177320.0;31480.0;34360.0;38240.0;71200.0;161840.0;169040.0;176240.0;177960.0;75280.0;80520.0;80720.0;71320.0;4320.0;33320.0;33760.0;5520.0;4520.0;15560.0;15520.0;15880.0;10280.0;17800.0;17400.0;7560.0;11680.0;18800.0;18000.0;8320.0;133840.0;144800.0;151600.0;158320.0;18040.0;20800.0;20560.0;20440.0;31280.0;39880.0;43120.0;56760.0;17080.0;15960.0;16920.0;96040.0;63120.0;64200.0;64240.0;55200.0
300;361080.0;393240.0;394440.0;400000.0;70000.0;79200.0;79040.0;158320.0;368240.0;393120.0;393480.0;396760.0;164960.0;175800.0;173640.0;155480.0;6240.0;34800.0;34920.0;8560.0;6960.0;22520.0;22880.0;22320.0;14960.0;29240.0;29320.0;12080.0;16920.0;30120.0;30240.0;14040.0;305400.0;331760.0;335440.0;356760.0;30120.0;34320.0;33960.0;33480.0;67120.0;82120.0;82840.0;123240.0;31480.0;26800.0;26040.0;211240.0;91960.0;97520.0;95800.0;82400.0
400;648000.0;699280.0;710640.0;707080.0;122000.0;142440.0;141560.0;282720.0;663040.0;700800.0;711000.0;710200.0;288400.0;302560.0;301520.0;273880.0;8080.0;37160.0;36640.0;11280.0;8720.0;29360.0;29600.0;29480.0;22640.0;40960.0;41880.0;16160.0;24720.0;44400.0;42920.0;18360.0;549040.0;599000.0;600880.0;631640.0;40200.0;47560.0;47920.0;45680.0;114960.0;136960.0;137600.0;214840.0;47920.0;38160.0;37560.0;373360.0;124680.0;130840.0;132000.0;111160.0
500;1023680.0;1085600.0;1139360.0;1109160.0;196360.0;221120.0;227720.0;439040.0;1051400.0;1091200.0;1135000.0;1108280.0;451000.0;468680.0;467920.0;423960.0;10280.0;38080.0;38880.0;13040.0;11360.0;37560.0;36600.0;36920.0;28160.0;53600.0;55520.0;21440.0;29240.0;56360.0;56760.0;24840.0;863400.0;931440.0;956920.0;986800.0;51560.0;62120.0;62200.0;59200.0;175760.0;203720.0;208000.0;331240.0;72960.0;46040.0;55120.0;585200.0;150320.0;161760.0;160560.0;134000.0
600;1495920.0;1606760.0;1642520.0;1599440.0;277720.0;321120.0;331640.0;631640.0;1516400.0;1603200.0;1639760.0;1596960.0;643920.0;670680.0;666880.0;612720.0;11360.0;39680.0;39760.0;15280.0;12240.0;43040.0;43120.0;43400.0;32560.0;67120.0;66720.0;26520.0;37720.0;70360.0;70200.0;30480.0;1268880.0;1375640.0;1399240.0;1428160.0;63800.0;77240.0;77600.0;73240.0;247280.0;286080.0;292360.0;473320.0;97520.0;57640.0;62400.0;834400.0;188600.0;200600.0;200400.0;168440.0
700;2050720.0;2180280.0;2233320.0;2174480.0;363560.0;429280.0;444120.0;858440.0;2082600.0;2172720.0;2235400.0;2175080.0;877480.0;904080.0;900760.0;826800.0;13240.0;41600.0;41520.0;18000.0;14280.0;50040.0;50080.0;50200.0;38960.0;81520.0;80480.0;31480.0;42280.0;86240.0;82600.0;37000.0;1748400.0;1857200.0;1928160.0;1935880.0;75720.0;92920.0;93120.0;88200.0;324360.0;374280.0;383840.0;638480.0;125600.0;71200.0;68920.0;1134520.0;223040.0;236200.0;237280.0;196280.0
800;2708040.0;2882520.0;2899880.0;2837960.0;482560.0;563080.0;571320.0;1122840.0;2730480.0;2869560.0;2898400.0;2834000.0;1141080.0;1171200.0;1169080.0;1078840.0;14960.0;43280.0;43400.0;20280.0;16080.0;57800.0;57120.0;56640.0;43960.0;93600.0;94840.0;36000.0;56000.0;100760.0;101200.0;41240.0;2323160.0;2469720.0;2490160.0;2533920.0;86960.0;109320.0;108920.0;103480.0;420720.0;481560.0;489560.0;829120.0;159160.0;82760.0;84360.0;1476840.0;254520.0;273560.0;272920.0;230280.0
900;3457800.0;3617440.0;3694920.0;3584040.0;617480.0;698240.0;719360.0;1415880.0;3505200.0;3622160.0;3701680.0;3599800.0;1439720.0;1474640.0;1471760.0;1362120.0;16720.0;44960.0;44920.0;24320.0;18760.0;64120.0;64160.0;63880.0;49080.0;108360.0;109680.0;41280.0;61360.0;119000.0;117960.0;46680.0;2963120.0;3143960.0;3185280.0;3197720.0;99120.0;123840.0;125120.0;116800.0;541440.0;590640.0;602840.0;1044800.0;196600.0;92800.0;92400.0;1870920.0;284680.0;305840.0;304720.0;254360.0
1000;4284080.0;4500520.0;4596120.0;4459760.0;749480.0;859000.0;896040.0;1749600.0;4337040.0;4492360.0;4593000.0;4457880.0;1773640.0;1819320.0;1810080.0;1681000.0;18320.0;46680.0;46760.0;26240.0;20160.0;70920.0;71480.0;71160.0;54120.0;123120.0;123360.0;46960.0;64520.0;125200.0;127760.0;54920.0;3642160.0;3897400.0;3972280.0;3964800.0;110640.0;140640.0;141240.0;131600.0;654560.0;717320.0;742440.0;1284800.0;232720.0;103240.0;103960.0;2308440.0;311680.0;338160.0;336840.0;277680.0
1100;5157240.0;5500120.0;5585560.0;5383760.0;883840.0;1062480.0;1082480.0;2127320.0;5247360.0;5499080.0;5570480.0;5393560.0;2140200.0;2188600.0;2200160.0;2035240.0;21520.0;50120.0;49440.0;28640.0;23200.0;79160.0;79400.0;79080.0;61480.0;136120.0;135200.0;51800.0;75280.0;143920.0;143720.0;61360.0;4382880.0;4795960.0;4853560.0;4799400.0;123880.0;157040.0;157600.0;148040.0;792840.0;869600.0;883160.0;1557680.0;277080.0;125400.0;116760.0;2789920.0;347440.0;378160.0;376480.0;311720.0
1200;6135520.0;6603640.0;6633560.0;6396240.0;1057200.0;1291480.0;1288720.0;2519120.0;6214400.0;6613040.0;6634160.0;6398640.0;2547640.0;2587880.0;2596680.0;2411160.0;22560.0;51240.0;51480.0;31240.0;25040.0;86160.0;86240.0;85920.0;66400.0;152240.0;151400.0;56400.0;86080.0;163560.0;161480.0;68360.0;5273000.0;5791440.0;5766120.0;5710680.0;137280.0;174680.0;174680.0;162200.0;919480.0;1041440.0;1039160.0;1860760.0;323280.0;130760.0;129560.0;3321920.0;386680.0;416600.0;419520.0;345880.0
1300;7216680.0;7760760.0;7807200.0;7489600.0;1234400.0;1505400.0;1492360.0;2954520.0;7312560.0;7774400.0;7794120.0;7500320.0;2985200.0;3033480.0;3035960.0;2833000.0;24760.0;53280.0;53400.0;33320.0;27120.0;92720.0;92840.0;92920.0;74360.0;167000.0;166440.0;64680.0;91640.0;179160.0;184400.0;74360.0;6199800.0;6787040.0;6765440.0;6683560.0;154480.0;193720.0;190560.0;177520.0;1074080.0;1207680.0;1194960.0;2210120.0;374920.0;140360.0;138200.0;3887720.0;418680.0;454600.0;455480.0;374200.0
1400;8373360.0;8993160.0;9041600.0;8694680.0;1423960.0;1742520.0;1716400.0;3423840.0;8500920.0;8978800.0;9009280.0;8684760.0;3451960.0;3522040.0;3507040.0;3306680.0;26880.0;54600.0;55640.0;35680.0;29080.0;100120.0;100240.0;99520.0;81120.0;183000.0;181480.0;67400.0;93760.0;195960.0;193880.0;81800.0;7200560.0;7865320.0;7884600.0;7748760.0;163360.0;208480.0;208040.0;192840.0;1233080.0;1381760.0;1369960.0;2496960.0;430840.0;162920.0;152680.0;4516480.0;456760.0;494840.0;493560.0;407040.0
1500;9660200.0;10296600.0;10410560.0;9976600.0;1622000.0;1980360.0;1968640.0;3926600.0;9787600.0;10319400.0;10389040.0;9967000.0;3961360.0;4025840.0;4044920.0;3798640.0;27920.0;56560.0;56560.0;38040.0;31080.0;107240.0;107280.0;107440.0;87080.0;198800.0;199120.0;76720.0;98320.0;204520.0;207840.0;90640.0;8292280.0;9032840.0;9048920.0;8911520.0;176280.0;224440.0;226160.0;209400.0;1402240.0;1564000.0;1561320.0;2862040.0;488240.0;165880.0;167200.0;5173920.0;488360.0;530280.0;528880.0;433840.0
1600;10988560.0;11724760.0;11830240.0;11343640.0;1862920.0;2253840.0;2239520.0;4485800.0;11156960.0;11713160.0;11836440.0;11344080.0;4509160.0;4581480.0;4575400.0;4291320.0;29920.0;58200.0;58400.0;40720.0;32840.0;114560.0;114200.0;113680.0;95840.0;216000.0;213800.0;76760.0;125720.0;237680.0;234320.0;91080.0;9475200.0;10289520.0;10326680.0;10125920.0;189960.0;242040.0;244840.0;224200.0;1598160.0;1771520.0;1763800.0;3247480.0;552960.0;176840.0;179600.0;5898680.0;526080.0;572000.0;571520.0;471960.0
1700;12470840.0;13147520.0;13377360.0;12828040.0;2112800.0;2523880.0;2534200.0;5046960.0;12667560.0;13141400.0;13465600.0;12799280.0;5076160.0;5166720.0;5156520.0;4849200.0;31520.0;61680.0;60160.0;42920.0;35040.0;121720.0;120880.0;120640.0;100840.0;231360.0;227560.0;86280.0;118000.0;236920.0;240040.0;98520.0;10751400.0;11530160.0;11735120.0;11424920.0;202400.0;258280.0;260360.0;240760.0;1804240.0;1973960.0;1986960.0;3664480.0;613000.0;199680.0;196480.0;6636840.0;553360.0;602040.0;603840.0;494440.0
1800;13931240.0;14826680.0;15130280.0;14354240.0;2358800.0;2837880.0;2862800.0;5656040.0;14129400.0;14807720.0;15109280.0;14346720.0;5691920.0;5805200.0;5774120.0;5414480.0;32000.0;60440.0;60640.0;44360.0;35720.0;127000.0;126800.0;126440.0;106680.0;246800.0;242920.0;89680.0;129720.0;272040.0;274520.0;104640.0;12083240.0;13030520.0;13230640.0;12817480.0;214360.0;276560.0;278040.0;256720.0;2029480.0;2211720.0;2319680.0;4101200.0;686360.0;218640.0;200320.0;7461200.0;583400.0;634760.0;639200.0;526920.0
1900;15643360.0;16563720.0;16868160.0;16065760.0;2636560.0;3159680.0;3195880.0;6340600.0;15833400.0;16559480.0;16819560.0;16104800.0;6367040.0;6462400.0;6436320.0;6049560.0;34000.0;63920.0;63120.0;47080.0;37320.0;134480.0;133680.0;133560.0;114920.0;265200.0;259440.0;95120.0;124120.0;274880.0;271520.0;112000.0;13486840.0;14558320.0;14723440.0;14258480.0;226120.0;294280.0;295520.0;272240.0;2236120.0;2439160.0;2480640.0;4552000.0;760600.0;212960.0;212040.0;8314600.0;616880.0;674080.0;676840.0;554320.0
2000;17229680.0;18379960.0;18551080.0;17731920.0;2900120.0;3483480.0;3521640.0;6990320.0;17435680.0;18293320.0;18564600.0;17746800.0;7019960.0;7128920.0;7158360.0;6693120.0;36320.0;64560.0;64040.0;50760.0;39640.0;140240.0;140400.0;141520.0;120360.0;279000.0;274240.0;103160.0;142240.0;286600.0;292520.0;121400.0;14938920.0;16141680.0;16306600.0;15806040.0;239480.0;312720.0;313280.0;288080.0;2474560.0;2701800.0;2719000.0;5062240.0;830920.0;240120.0;227920.0;9185280.0;642560.0;703760.0;705760.0;574520.0
2100;18944240.0;20294120.0;20516040.0;19573760.0;3193800.0;3853280.0;3875640.0;7706120.0;19185680.0;20216800.0;20455280.0;19577320.0;7726800.0;7841920.0;7824520.0;7367440.0;38320.0;66880.0;67360.0;53800.0;42640.0;149200.0;148960.0;148400.0;127720.0;294400.0;292040.0;107840.0;151400.0;313360.0;314400.0;126400.0;16504160.0;17891720.0;17984480.0;17458000.0;253440.0;332960.0;333960.0;304400.0;2731480.0;2972240.0;2999120.0;5566880.0;912000.0;260440.0;243840.0;10125840.0;682360.0;743440.0;745520.0;615440.0
2200;20653240.0;22287480.0;22492360.0;21490640.0;3477400.0;4266960.0;4262360.0;8437200.0;20899640.0;22207040.0;22436480.0;21428480.0;8489760.0;8603240.0;8605360.0;8085400.0;40000.0;68640.0;69760.0;56240.0;44520.0;155960.0;156320.0;156480.0;139160.0;311040.0;307720.0;115200.0;162760.0;326400.0;326520.0;133520.0;18048280.0;19662720.0;19786200.0;19138000.0;269280.0;351000.0;350520.0;321680.0;2996920.0;3264040.0;3278640.0;6136520.0;1004760.0;262160.0;265640.0;11092040.0;715400.0;787400.0;786640.0;642800.0
