размеры массива;BubbleSortOptimizedI от 0 до 5;BubbleSortOptimizedI от 0 до 4000;BubbleSortOptimizedI почти отсортированный;BubbleSortOptimizedI отсортированный в обратном порядке;InsertionSort от 0 до 5;InsertionSort от 0 до 4000;InsertionSort почти отсортированный;InsertionSort отсортированный в обратном порядке;BubbleSort от 0 до 5;BubbleSort от 0 до 4000;BubbleSort почти отсортированный;BubbleSort отсортированный в обратном порядке;SelectionSort от 0 до 5;SelectionSort от 0 до 4000;SelectionSort почти отсортированный;SelectionSort отсортированный в обратном порядке;CountingSort от 0 до 5;CountingSort от 0 до 4000;CountingSort почти отсортированный;CountingSort отсортированный в обратном порядке;RadixSort от 0 до 5;RadixSort от 0 до 4000;RadixSort почти отсортированный;RadixSort отсортированный в обратном порядке;ShellSortCiuraSequence от 0 до 5;ShellSortCiuraSequence от 0 до 4000;ShellSortCiuraSequence почти отсортированный;ShellSortCiuraSequence отсортированный в обратном порядке;ShellSortShellSequence от 0 до 5;ShellSortShellSequence от 0 до 4000;ShellSortShellSequence почти отсортированный;ShellSortShellSequence отсортированный в обратном порядке;BubbleSortOptimizedII от 0 до 5;BubbleSortOptimizedII от 0 до 4000;BubbleSortOptimizedII почти отсортированный;BubbleSortOptimizedII отсортированный в обратном порядке;HeapSort от 0 до 5;HeapSort от 0 до 4000;HeapSort почти отсортированный;HeapSort отсортированный в обратном порядке;BinaryInsertionSort от 0 до 5;BinaryInsertionSort от 0 до 4000;BinaryInsertionSort почти отсортированный;BinaryInsertionSort отсортированный в обратном порядке;QuickSort от 0 до 5;QuickSort от 0 до 4000;QuickSort почти отсортированный;QuickSort отсортированный в обратном порядке;MergeSort от 0 до 5;MergeSort от 0 до 4000;MergeSort почти отсортированный;MergeSort отсортированный в обратном порядке
100;45320.0;48920.0;50280.0;50920.0;16640.0;20080.0;21320.0;34560.0;45880.0;49600.0;50040.0;51160.0;25720.0;28240.0;27920.0;30400.0;8000.0;49400.0;50360.0;8200.0;8320.0;14520.0;13960.0;13520.0;8680.0;10880.0;10480.0;7600.0;9280.0;11800.0;11720.0;8720.0;43160.0;48360.0;47640.0;55320.0;8800.0;9720.0;9440.0;9600.0;15440.0;20520.0;20960.0;25440.0;11400.0;10160.0;11000.0;36800.0;31840.0;33320.0;32240.0;28480.0
200;171640.0;188200.0;183480.0;193240.0;55720.0;68320.0;61760.0;126040.0;173120.0;187680.0;183640.0;192440.0;88560.0;92520.0;93240.0;109400.0;7520.0;49480.0;50240.0;9520.0;8840.0;20800.0;20920.0;20400.0;14400.0;20480.0;20520.0;13480.0;16480.0;23120.0;23000.0;14840.0;168800.0;182360.0;176480.0;211040.0;20160.0;22560.0;23120.0;21880.0;47720.0;59680.0;55080.0;87480.0;26280.0;20360.0;19680.0;131640.0;61600.0;64080.0;64320.0;55800.0
300;396400.0;420480.0;417640.0;430080.0;123240.0;143640.0;142320.0;278960.0;396800.0;420040.0;421200.0;429680.0;194600.0;199000.0;201480.0;238840.0;9720.0;51160.0;52160.0;12720.0;11480.0;28720.0;28360.0;29040.0;21560.0;31400.0;32000.0;19320.0;24640.0;35920.0;35040.0;23640.0;381680.0;409960.0;395120.0;469280.0;30840.0;35520.0;35320.0;34320.0;101720.0;117720.0;116720.0;192000.0;48160.0;30040.0;29720.0;286760.0;91480.0;96040.0;97360.0;81680.0
400;714840.0;761840.0;746160.0;758320.0;216320.0;252800.0;247160.0;492520.0;719320.0;759920.0;749960.0;760760.0;336800.0;346520.0;346120.0;419560.0;11600.0;55000.0;55240.0;15360.0;13880.0;36600.0;37040.0;36560.0;28560.0;44200.0;43960.0;25560.0;34520.0;50040.0;49200.0;30200.0;682160.0;731280.0;706680.0;826680.0;43000.0;50000.0;49880.0;48200.0;180880.0;198200.0;195400.0;335840.0;78920.0;38960.0;38800.0;504160.0;123520.0;131040.0;130720.0;112760.0
500;1138960.0;1204800.0;1179840.0;1186360.0;332280.0;384200.0;394720.0;767880.0;1130040.0;1190400.0;1184840.0;1183560.0;524920.0;533880.0;538120.0;651080.0;13680.0;55360.0;55840.0;18520.0;15840.0;44880.0;44280.0;44840.0;35360.0;55920.0;55560.0;31840.0;41000.0;61240.0;59480.0;37640.0;1074040.0;1133600.0;1114320.0;1286160.0;56120.0;65920.0;65120.0;61800.0;273720.0;293960.0;301480.0;524200.0;112440.0;51080.0;50560.0;787800.0;149200.0;158200.0;158520.0;133160.0
600;1622840.0;1709960.0;1700680.0;1707720.0;478080.0;546440.0;561160.0;1108040.0;1639360.0;1699560.0;1701480.0;1706720.0;753360.0;764800.0;771200.0;937000.0;15320.0;57480.0;58280.0;21520.0;18240.0;53080.0;52800.0;52960.0;43320.0;69320.0;68400.0;39240.0;54240.0;77320.0;75640.0;47960.0;1576400.0;1635920.0;1626400.0;1875880.0;67600.0;81320.0;80600.0;76360.0;392360.0;411760.0;421000.0;748560.0;152400.0;64520.0;64040.0;1129800.0;185760.0;198320.0;198800.0;167400.0
700;2230600.0;2320720.0;2365520.0;2327840.0;632040.0;727280.0;782280.0;1504600.0;2217440.0;2303520.0;2358480.0;2324760.0;1030320.0;1038360.0;1039160.0;1268840.0;17360.0;60080.0;59640.0;24680.0;20520.0;60400.0;60520.0;61120.0;51520.0;82320.0;82280.0;45600.0;60280.0;91560.0;91000.0;56040.0;2112960.0;2219600.0;2254320.0;2529840.0;81920.0;98320.0;99040.0;92920.0;520720.0;541080.0;583280.0;1017480.0;204400.0;84320.0;72720.0;1540400.0;217840.0;235040.0;235680.0;196360.0
800;2919680.0;3080200.0;3084960.0;3039360.0;835560.0;985200.0;1010080.0;1960960.0;2913360.0;3076600.0;3087480.0;3049160.0;1341920.0;1362520.0;1353880.0;1662160.0;19320.0;61120.0;62040.0;27280.0;22600.0;67840.0;68800.0;68840.0;59880.0;97480.0;95440.0;52600.0;74880.0;111240.0;110440.0;63640.0;2823720.0;2912640.0;2931720.0;3296360.0;95440.0;112800.0;113240.0;107000.0;678960.0;725280.0;739840.0;1333120.0;262920.0;88360.0;85400.0;2007160.0;252520.0;272240.0;272280.0;226760.0
900;3672200.0;3892320.0;3871200.0;3842800.0;1054440.0;1253920.0;1257160.0;2495280.0;3705640.0;3944560.0;3939280.0;3856720.0;1682920.0;1714480.0;1706680.0;2110920.0;21600.0;63120.0;63560.0;31680.0;25200.0;77000.0;76120.0;76320.0;66360.0;110720.0;109320.0;61360.0;80520.0;127320.0;126440.0;72760.0;3556640.0;3708080.0;3708840.0;4181360.0;107480.0;130080.0;128880.0;122160.0;858040.0;905400.0;911960.0;1676600.0;322360.0;102320.0;98160.0;2537120.0;282920.0;304840.0;303840.0;253200.0
1000;4495840.0;4840480.0;4794320.0;4762960.0;1277440.0;1540560.0;1553920.0;3074320.0;4526840.0;4835120.0;4832320.0;4758480.0;2094200.0;2120680.0;2105760.0;2593880.0;23440.0;65080.0;65240.0;35000.0;27680.0;84400.0;84640.0;84760.0;76280.0;123400.0;123800.0;67360.0;86720.0;137520.0;137120.0;80120.0;4354520.0;4574880.0;4577520.0;5167040.0;120880.0;147320.0;147560.0;137840.0;1037720.0;1108600.0;1112840.0;2070320.0;388440.0;112680.0;105760.0;3130160.0;307240.0;336680.0;335400.0;276280.0
1100;5484680.0;5815720.0;5779480.0;5754720.0;1548440.0;1860520.0;1875360.0;3716120.0;5504000.0;5782360.0;5863880.0;5756040.0;2510840.0;2560760.0;2546480.0;3135360.0;25520.0;68840.0;68040.0;36680.0;30760.0;93360.0;93560.0;92520.0;81800.0;136880.0;137440.0;76320.0;100600.0;156400.0;154400.0;95280.0;5295880.0;5529560.0;5528560.0;6269600.0;134240.0;164120.0;164320.0;153880.0;1262160.0;1326000.0;1345480.0;2499480.0;467440.0;118840.0;120920.0;3784760.0;345080.0;374240.0;375320.0;308320.0
1200;6553320.0;6910840.0;6919400.0;6859400.0;1890120.0;2225760.0;2234480.0;4430960.0;6596240.0;6913000.0;6892520.0;6848040.0;2991080.0;3018560.0;3030560.0;3732440.0;27280.0;69680.0;70040.0;40120.0;33200.0;101280.0;101680.0;102040.0;90800.0;152040.0;152960.0;82480.0;118960.0;171360.0;171920.0;104920.0;6291800.0;6644560.0;6660640.0;7457160.0;150440.0;181800.0;182560.0;169520.0;1514800.0;1599640.0;1601800.0;2987800.0;551440.0;134320.0;134560.0;4520040.0;384240.0;420200.0;415600.0;342000.0
1300;7735600.0;8171520.0;8186880.0;8027960.0;2225920.0;2619320.0;2653040.0;5196520.0;7939560.0;8252160.0;8198760.0;8051640.0;3520680.0;3560400.0;3571600.0;4396480.0;29600.0;72280.0;72120.0;42840.0;35880.0;109640.0;109120.0;109760.0;98560.0;164640.0;167840.0;92840.0;124360.0;200160.0;195240.0;114000.0;7414400.0;7822080.0;7849440.0;8744280.0;161600.0;200280.0;199240.0;185840.0;1802840.0;1870400.0;1875280.0;3490120.0;642400.0;147520.0;151960.0;5282160.0;418760.0;453080.0;453600.0;371320.0
